timestamp,cpu,mem,disks,read_bytes,write_bytes,net_sent,net_recv
2025-07-07T08:45:47.685279,0.1,11.1,"{""/"": 41.5, ""/boot/efi"": 1.2}",713438208,51241984,231711,233350
2025-07-07T08:46:48.907472,0.9,11.1,"{""/"": 41.5, ""/boot/efi"": 1.2}",713659392,51864576,254431,256070
2025-07-07T08:47:50.139911,0.1,11.3,"{""/"": 41.5, ""/boot/efi"": 1.2}",713696256,53048320,277548,281678
2025-07-07T08:48:51.663241,0.0,11.3,"{""/"": 41.5, ""/boot/efi"": 1.2}",713696256,53220352,300268,305388
2025-07-07T08:59:04.955167,0.2,11.5,"{""/"": 41.5, ""/boot/efi"": 1.2}",720675840,59364352,528599,545371
2025-07-07T09:00:06.176681,12.8,11.4,"{""/"": 41.5, ""/boot/efi"": 1.2}",720684032,59597824,562679,581733
2025-07-07T09:01:07.425493,0.5,11.4,"{""/"": 41.5, ""/boot/efi"": 1.2}",720700416,60064768,585399,604453
2025-07-07T09:02:08.601345,0.3,11.5,"{""/"": 41.5, ""/boot/efi"": 1.2}",721323008,61326336,608516,630105
2025-07-07T09:03:06.421385,0.1,11.6,"{""/"": 41.5, ""/boot/efi"": 1.2}",721323008,61678592,619876,641465
2025-07-07T09:03:09.715783,0.5,11.6,"{""/"": 41.5, ""/boot/efi"": 1.2}",721323008,61686784,631236,652825
2025-07-07T09:04:07.659210,10.5,11.5,"{""/"": 41.5, ""/boot/efi"": 1.2}",721363968,62153728,642596,666467
2025-07-07T09:05:08.842184,0.2,11.5,"{""/"": 41.5, ""/boot/efi"": 1.2}",721363968,62546944,676676,700547
2025-07-07T09:06:09.993769,0.8,11.3,"{""/"": 41.5, ""/boot/efi"": 1.2}",721363968,63190016,699396,727853
2025-07-07T09:07:11.194347,0.1,11.4,"{""/"": 41.5, ""/boot/efi"": 1.2}",721380352,64840704,722513,751223
2025-07-07T09:20:15.315325,0.3,11.6,"{""/"": 41.5, ""/boot/efi"": 1.2}",724689920,74437632,1008764,1053690
2025-07-07T09:21:16.536267,0.1,11.6,"{""/"": 41.5, ""/boot/efi"": 1.2}",724689920,74798080,1031484,1076410
2025-07-07T09:22:17.757447,0.2,11.6,"{""/"": 41.5, ""/boot/efi"": 1.2}",724689920,75785216,1065961,1113422
2025-07-07T09:23:19.152580,0.0,11.6,"{""/"": 41.5, ""/boot/efi"": 1.2}",724689920,76084224,1088681,1136142
2025-07-07T09:24:20.842653,0.2,11.6,"{""/"": 41.5, ""/boot/efi"": 1.2}",724689920,76280832,1111401,1161144
2025-07-07T10:31:41.408350,1.4,11.7,"{""/"": 41.5, ""/boot/efi"": 1.2}",825848832,104576000,2633549,2832683
2025-07-07T10:32:42.612981,1.2,11.7,"{""/"": 41.5, ""/boot/efi"": 1.2}",825848832,105616384,2656666,2862493
2025-07-17T09:25:18.988067,1.3,26.8,"{""/"": 46.0, ""/boot/efi"": 1.2}",1027449856,262407168,1702311,3828186
